id,zipcode,name,country_id/id
490,5560,Ciergnon,base.be
491,5590,Ciney,base.be
492,4260,Ciplet,base.be
493,7024,Ciply,base.be
494,1480,Clabecq,base.be
495,4560,Clavier,base.be
496,4890,Clermont (Lg.),base.be
497,5650,Clermont (Nam.),base.be
498,4480,Clermont-sous-Huy,base.be
499,5022,Cognelée,base.be
500,7340,Colfontaine,base.be
501,4170,Comblain-au-Pont,base.be
502,4180,Comblain-Fairon,base.be
503,4180,Comblain-la-Tour,base.be
504,7780,Comines,base.be
505,7780,Comines-Warneton,base.be
506,5590,Conneux,base.be
507,1435,Corbais,base.be
508,6838,Corbion,base.be
509,7910,Cordes,base.be
510,5620,Corenne,base.be
511,4860,Cornesse,base.be
512,5555,Cornimont,base.be
513,5032,Corroy-le-Château,base.be
514,1325,Corroy-le-Grand,base.be
515,4257,Corswarem,base.be
516,1450,Cortil-Noirmont,base.be
517,5380,Cortil-Wodon,base.be
518,6010,Couillet,base.be
519,6180,Courcelles,base.be
520,5336,Courrière,base.be
521,6120,Cour-sur-Heure,base.be
522,1490,Court-Saint-Etienne,base.be
523,4218,Couthuin,base.be
524,5300,Coutisse,base.be
525,1380,Couture-Saint-Germain,base.be
526,5660,Couvin,base.be
527,4280,Cras-Avernas,base.be
528,4280,Crehen,base.be
529,4367,Crisnée,base.be
530,7120,Croix-lez-Rouveroy,base.be
531,4784,Crombach,base.be
532,5332,Crupet,base.be
533,7033,Cuesmes,base.be
534,6880,Cugnon,base.be
535,5660,Cul-des-Sarts,base.be
536,5562,Custinne,base.be
537,8890,Dadizele,base.be
538,5660,Dailly,base.be
539,9160,Daknam,base.be
540,4607,Dalhem,base.be
541,8340,Damme,base.be
542,6767,Dampicourt,base.be
543,6020,Dampremy,base.be
544,4253,Darion,base.be
545,5630,Daussois,base.be
546,5020,Daussoulx,base.be
547,5100,Dave,base.be
548,6929,Daverdisse,base.be
549,8420,De Haan,base.be
550,9170,De Klinge,base.be
551,8630,De Moeren,base.be
552,8660,De Panne,base.be
553,9840,De Pinte,base.be
554,8540,Deerlijk,base.be
555,9570,Deftinge,base.be
556,9800,Deinze,base.be
557,9280,Denderbelle,base.be
558,9450,Denderhoutem,base.be
559,9470,Denderleeuw,base.be
560,9200,Dendermonde,base.be
561,9400,Denderwindeke,base.be
562,5537,Denée,base.be
563,8720,Dentergem,base.be
564,7912,Dergneau,base.be
565,2480,Dessel,base.be
566,8792,Desselgem,base.be
567,9070,Destelbergen,base.be
568,9831,Deurle,base.be
569,2100,Deurne (Antwerpen),base.be
570,3290,Deurne (Bt.),base.be
571,7864,Deux-Acren,base.be
572,5310,Dhuy,base.be
573,1831,Diegem,base.be
574,3590,Diepenbeek,base.be
575,3290,Diest,base.be
576,3700,Diets-Heur,base.be
577,8900,Dikkebus,base.be
578,9630,Dikkele,base.be
579,9890,Dikkelvenne,base.be
580,8600,Diksmuide,base.be
581,1700,Dilbeek,base.be
582,3650,Dilsen,base.be
583,5500,Dinant,base.be
584,5570,Dion,base.be
585,1325,Dion-Valmont,base.be
586,4820,Dison,base.be
587,6960,Dochamps,base.be
588,9130,Doel,base.be
589,6836,Dohan,base.be
590,5680,Doische,base.be
591,4140,Dolembreux,base.be
592,4357,Donceel,base.be
593,1370,Dongelberg,base.be
594,3540,Donk,base.be
595,6536,Donstiennes,base.be
596,5530,Dorinne,base.be
597,3440,Dormaal,base.be
598,7711,Dottenijs,base.be
599,7711,Dottignies,base.be
600,7370,Dour,base.be
601,5670,Dourbes,base.be
602,8951,Dranouter,base.be
603,5500,Dréhance,base.be
604,8600,Driekapellen,base.be
605,3350,Drieslinter,base.be
606,1620,Drogenbos,base.be
607,9031,Drongen,base.be
608,8380,Dudzele,base.be
609,2570,Duffel,base.be
610,3080,Duisburg,base.be
611,3803,Duras,base.be
612,6940,Durbuy,base.be
613,5530,Durnal,base.be
614,1653,Dworp,base.be
615,4690,Eben-Emael,base.be
616,6860,Ebly,base.be
617,7190,Ecaussinnes,base.be
618,7190,Ecaussinnes-d'Enghien,base.be
619,7191,Ecaussinnes-Lalaing,base.be
620,2650,Edegem,base.be
621,9700,Edelare,base.be
622,7850,Edingen,base.be
623,9900,Eeklo,base.be
624,8480,Eernegem,base.be
625,8740,Egem,base.be
626,8630,Eggewaartskapelle,base.be
627,5310,Eghezée,base.be
628,4480,Ehein (Engis),base.be
629,4120,Ehein (Neupré),base.be
630,3740,Eigenbilzen,base.be
631,2430,Eindhout,base.be
632,9700,Eine,base.be
633,3630,Eisden,base.be
634,9810,Eke,base.be
635,2180,Ekeren (Antwerpen),base.be
636,9160,Eksaarde,base.be
637,3941,Eksel,base.be
638,3650,Elen,base.be
639,9620,Elene,base.be
640,1982,Elewijt,base.be
641,3400,Eliksem,base.be
642,1671,Elingen,base.be
643,4590,Ellemelle,base.be
644,7890,Ellezelles,base.be
645,7910,Ellignies-lez-Frasnes,base.be
646,7972,Ellignies-Sainte-Anne,base.be
647,3670,Ellikom,base.be
648,7370,Elouges,base.be
649,9790,Elsegem,base.be
650,4750,Elsenborn,base.be
651,1050,Elsene,base.be
652,9660,Elst,base.be
653,8906,Elverdinge,base.be
654,9140,Elversele,base.be
655,2520,Emblem,base.be
656,4053,Embourg,base.be
657,8870,Emelgem,base.be
658,5080,Emines,base.be
659,5363,Emptinne,base.be
660,9700,Ename,base.be
661,3800,Engelmanshoven,base.be
662,7850,Enghien,base.be
663,4480,Engis,base.be
664,1350,Enines,base.be
665,4800,Ensival,base.be
666,7134,Epinois,base.be
667,1980,Eppegem,base.be
668,5580,Eprave,base.be
669,7050,Erbaut,base.be
670,7050,Erbisoeul,base.be
671,7500,Ere,base.be
672,9320,Erembodegem,base.be
673,6997,Erezée,base.be
674,5644,Ermeton-sur-Biert,base.be
675,5030,Ernage,base.be
676,6972,Erneuville,base.be
677,4920,Ernonheid,base.be
678,9420,Erondegem,base.be
679,9420,Erpe,base.be
680,9420,Erpe-Mere,base.be
681,5101,Erpent,base.be
682,6441,Erpion,base.be
683,3071,Erps-kwerps,base.be
684,6560,Erquelinnes,base.be
685,7387,Erquennes,base.be
686,9940,Ertvelde,base.be
687,9620,Erwetegem,base.be
688,7760,Escanaffles,base.be
689,8600,Esen,base.be
690,4130,Esneux,base.be
691,8587,Espierres,base.be
692,8587,Espierres-Helchin,base.be
693,7502,Esplechin,base.be
694,7743,Esquelmes,base.be
695,2910,Essen,base.be
696,1790,Essene,base.be
697,7730,Estaimbourg,base.be
698,7730,Estaimpuis,base.be
699,7120,Estinnes,base.be
700,7120,Estinnes-au-Mont,base.be
701,7120,Estinnes-au-Val,base.be
702,6740,Etalle,base.be
703,6760,Ethe,base.be
704,9680,Etikhove,base.be
705,8460,Ettelgem,base.be
706,1040,Etterbeek,base.be
707,7340,Eugies (Colfontaine),base.be
708,7080,Eugies (Frameries),base.be
709,4700,Eupen,base.be
710,4631,Evegnée,base.be
